"ID","Title","Year","Genres","Runtime"
"4439","The Avengers","2012","Action,Adventure,Sci-Fi","143"
"4440","It's a Wonderful Life","1946","Drama,Family,Fantasy","130"
"4441","Downfall","2004","Biography,Drama,History,War","156"
"4442","Sunset Boulevard","1950","Drama,Film-Noir","110"
"4443","Airplane!","1980","Comedy","88"
"4444","Some Like It Hot","1959","Comedy,Music,Romance","121"
"4445","The Handmaiden","2016","Drama,Romance,Thriller","145"
"4446","Rosemary's Baby","1968","Drama,Horror","137"
"4447","Amores Perros","2000","Drama,Thriller","154"
"4448","Lady Bird","2017","Comedy,Drama","94"
"4449","Roman Holiday","1953","Comedy,Romance","118"
"4450","The Girl with the Dragon Tattoo","2009","Crime,Drama,Mystery,Thriller","158"
"4451","The Big Sick","2017","Comedy,Drama,Romance","120"
"4452","Manchester by the Sea","2016","Drama","137"
"4453","The Man from Nowhere","2010","Action,Drama,Thriller","119"
"4454","Short Term 12","2013","Drama","96"
"4455","Thor","2011","Action,Adventure,Fantasy","115"
"4456","Captain America: The First Avenger","2011","Action,Adventure,Sci-Fi","124"
"4457","Night of the Living Dead","1968","Horror","96"
"4458","The Machinist","2004","Drama,Thriller","101"
"4459","The Conversation","1974","Drama,Mystery,Thriller","113"
"4460","Dear Zachary: A Letter to a Son About His Father","2008","Documentary,Biography,Crime,Drama","95"
"4461","Diabolique","1955","Crime,Drama,Horror,Mystery,Thriller","117"
"4462","The Disaster Artist","2017","Biography,Comedy,Drama","104"
"4463","Iron Man 2","2010","Action,Adventure,Sci-Fi","124"
"4464","Pi","1998","Drama,Horror,Mystery,Sci-Fi,Thriller","84"
"4465","The Lighthouse","2019","Drama,Fantasy,Horror,Mystery","109"
"4466","The Farewell","2019","Comedy,Drama","100"
"4467","The Wailing","2016","Horror,Mystery,Thriller","156"
"4468","A Trip to the Moon","1902","Short,Action,Adventure,Comedy,Fantasy,Sci-Fi","13"
"4469","The General","1926","Action,Adventure,Comedy,Drama,War","67"
"4470","Nosferatu","1922","Drama,Fantasy,Horror,Mystery","60"
"4471","The Cabinet of Dr. Caligari","1920","Fantasy,Horror,Mystery,Thriller","76"
"4472","Charade","1963","Comedy,Mystery,Romance,Thriller","113"
"4473","Apocalypto","2006","Action,Adventure,Drama,Thriller","139"
"4474","Stop Making Sense","1984","Documentary,Music","88"
"4475","Eighth Grade","2018","Comedy,Drama","93"
"4476","Hereditary","2018","Drama,Horror,Mystery,Thriller","127"
"4477","Temple Grandin","2010","Biography,Drama","107"
"4478","The Lincoln Lawyer","2011","Crime,Drama,Thriller","118"
"4479","His Girl Friday","1940","Comedy,Drama,Romance","92"
"4480","Aguirre, the Wrath of God","1972","Action,Adventure,Biography,Drama,History","95"
"4481","In the Heat of the Night","1967","Crime,Drama,Mystery,Thriller","60"
"4482","Stalag 17","1953","Comedy,Drama,War","120"
"4483","Logan Lucky","2017","Comedy,Crime,Drama","118"
"4484","The Act of Killing","2012","Documentary,Biography,Crime,History","117"
"4485","Leave No Trace","2018","Drama","109"
"4486","Harold and Maude","1971","Comedy,Drama,Romance","91"
"4487","The Man Who Shot Liberty Valance","1962","Drama,Western","123"
"4488","Escape from New York","1981","Action,Adventure,Sci-Fi","99"
"4489","Mississippi Burning","1988","Crime,Drama,History,Mystery,Thriller","128"
"4490","Inside Llewyn Davis","2013","Comedy,Drama,Music","104"
"4491","Paradise Lost: The Child Murders at Robin Hood Hills","1996","Documentary,Crime,Drama,Mystery","150"
"4492","The African Queen","1951","Adventure,Drama,Romance,War","105"
"4493","Pride","2014","Biography,Comedy,Drama,History,Romance","119"
"4494","Chak De! India","2007","Drama,Family,Sport","153"
"4495","Dead Man Walking","1995","Crime,Drama","122"
"4496","Grizzly Man","2005","Documentary,Biography","103"
"4497","A Bittersweet Life","2005","Action,Crime,Drama,Thriller","119"
"4498","Tumbbad","2018","Drama,Fantasy,Horror,Thriller","104"
"4499","A Man Called Ove","2015","Comedy,Drama,Romance","116"
"4500","The Imposter","2012","Documentary,Biography,Crime,Drama,Thriller","99"
"4501","Capote","2005","Biography,Crime,Drama,History","114"
"4502","Midsommar","2019","Drama,Horror,Mystery,Thriller","148"
"4503","Deep Red","1975","Horror,Mystery,Thriller","127"
"4504","The Salesman","2016","Drama,Thriller","124"
"4505","3-Iron","2004","Crime,Drama,Romance","88"
"4506","To Catch a Thief","1955","Mystery,Romance,Thriller","106"
"4507","Queen","2013","Adventure,Comedy,Drama","146"
"4508","Samsara","2011","Documentary,Music","102"
"4509","The Discreet Charm of the Bourgeoisie","1972","Comedy","102"
"4510","The Hours","2002","Drama,Romance","110"
"4511","Seven Psychopaths","2012","Comedy,Crime","110"
"4512","For Sama","2019","Documentary,War","100"
"4513","Sweet Smell of Success","1957","Drama,Film-Noir","96"
"4514","Bridget Jones's Diary","2001","Comedy,Drama,Romance","97"
"4515","The Last Waltz","1978","Documentary,Biography,Music","117"
"4516","Lars and the Real Girl","2007","Comedy,Drama,Romance","106"
"4517","The Look of Silence","2014","Documentary,Biography,History","103"
"4518","Cold War","2018","Drama,History,Music,Romance","89"
"4519","Bone Tomahawk","2015","Drama,Horror,Western","132"
"4520","Honey Boy","2019","Drama","94"
"4521","Veer-Zaara","2004","Drama,Family,Musical,Romance","192"
"4522","The Virgin Suicides","1999","Drama,Romance","97"
"4523","Paterson","2016","Comedy,Drama,Romance","118"
"4524","Fiddler on the Roof","1971","Drama,Family,Musical,Romance","181"
"4525","The Return of the Living Dead","1985","Comedy,Horror,Sci-Fi","91"
"4526","The Long Goodbye","1973","Comedy,Crime,Drama,Mystery,Thriller","112"
"4527","Black Book","2006","Drama,Thriller,War","145"
"4528","Legends of the Fall","1994","Drama,Romance,War,Western","133"
"4529","Clue","1985","Comedy,Crime,Mystery,Thriller","94"
"4530","mid90s","2018","Comedy,Drama","85"
"4531","My Name Is Nobody","1973","Comedy,Western","116"
"4532","Raazi","2018","Action,Drama,Thriller","138"
"4533","Highlander","1986","Action,Adventure,Fantasy","116"
"4534","The Italian Job","1969","Action,Crime,Thriller","111"
"4535","I Am Not Your Negro","2017","Documentary","93"
"4536","The Ghost Writer","2010","Drama,Mystery,Thriller","128"
"4537","The Birdcage","1996","Comedy","117"
"4538","Three Days of the Condor","1975","Action,Drama,Thriller","60"
"4539","My Man Godfrey","1936","Comedy,Drama,Romance","94"
"4540","Murder on the Orient Express","1974","Crime,Drama,Mystery","114"
"4541","Indie Game: The IteratorPattern.Movies.Movie","2012","Documentary,Drama","103"
"4542","The Boondock Saints","1999","Action,Crime,Thriller","108"
"4543","Miss Sloane","2016","Drama,Thriller","132"
"4544","Ernest & Celestine","2012","Animation,Adventure,Comedy,Crime,Drama,Family,Fantasy","80"
"4545","You Were Never Really Here","2017","Crime,Drama,Mystery,Thriller","89"
"4546","Moonstruck","1987","Comedy,Drama,Romance","102"
"4547","An Honest Liar","2014","Documentary,Biography,Comedy,History","90"
"4548","Sholay","1975","Action,Adventure,Comedy,Drama,Musical,Thriller,Western","204"
"4549","The Proposition","2005","Comedy","94"
