"ID","Title","Year","Country","Rotten Tomatoes"
"16213","Star Wars: A New Hope","1977","United States","92%"
"16214","Star Wars: The Empire Strikes Back","1980","United States","94%"
"16215","The Lion King","1994","United States,United Kingdom","93%"
"16216","Toy Story","1995","United States","100%"
"16217","Avengers: Endgame","2019","United States","93%"
"16218","WALL·E","2008","United States","95%"
"16219","Up","2009","United States","98%"
"16220","Guardians of the Galaxy","2014","United States","91%"
"16221","Finding Nemo","2003","United States,Australia","99%"
"16222","Coco","2017","United States","97%"
"16223","Toy Story 3","2010","United States","98%"
"16224","Monsters, Inc.","2001","United States","96%"
"16225","Star Wars: Return of the Jedi","1983","United States","82%"
"16226","Zootopia","2016","United States","98%"
"16227","Star Wars: The Force Awakens","2015","United States","93%"
"16228","Captain America: Civil War","2016","United States","91%"
"16229","Thor: Ragnarok","2017","United States","93%"
"16230","The Princess Bride","1987","United States","97%"
"16231","Ratatouille","2007","United States","96%"
"16232","Captain America: The Winter Soldier","2014","United States","90%"
"16233","Aladdin","1992","United States","95%"
"16234","Toy Story 2","1999","United States","100%"
"16235","The Incredibles","2004","United States","97%"
"16236","Pirates of the Caribbean: The Curse of the Black Pearl","2003","United States","79%"
"16237","Avatar","2009","United States","82%"
"16238","Big Hero 6","2014","United States","89%"
"16239","Doctor Strange","2016","United States","89%"
"16240","Guardians of the Galaxy Vol. 2","2017","United States","85%"
"16241","Rogue One: A Star Wars Story","2016","United States","84%"
"16242","Toy Story 4","2019","United States","97%"
"16243","Moana","2016","United States","95%"
"16244","Frozen","2013","United States","90%"
"16245","The Nightmare Before Christmas","1993","United States","95%"
"16246","Black Panther","2018","United States","97%"
"16247","Tangled","2010","United States","89%"
"16248","Wreck-It Ralph","2012","United States","87%"
"16249","Ant-Man","2015","United States","83%"
"16250","Onward","2020","United States","88%"
"16251","Avengers: Age of Ultron","2015","United States","75%"
"16252","Mary Poppins","1964","United States","100%"
"16253","Finding Dory","2016","United States","94%"
"16254","Who Framed Roger Rabbit","1988","United States","97%"
"16255","Mulan","1998","United States","86%"
"16256","Iron Man 3","2013","United States","79%"
"16257","The Sound of Music","1965","United States","83%"
"16258","Ice Age","2002","United States","77%"
"16259","Cars","2006","United States","75%"
"16260","Snow White and the Seven Dwarfs","1937","United States","98%"
"16261","Monsters University","2013","United States","80%"
"16262","Frozen II","2019","United States","77%"
"16263","Togo","2019","United States","91%"
"16264","A Bug's Life","1998","United States","92%"
"16265","The Jungle Book","1967","United Kingdom,United States","87%"
"16266","Remember the Titans","2000","United States","73%"
"16267","Brave","2012","United States,United Kingdom","78%"
"16268","The Simpsons IteratorPattern.Main.Movie","2007","United States","88%"
"16269","Fantasia","1940","United States","94%"
"16270","The Emperor's New Groove","2000","United States","85%"
"16271","The Straight Story","1999","France,United Kingdom,United States","95%"
"16272","One Hundred and One Dalmatians","1961","United States","98%"
"16273","Lady and the Tramp","1955","United States","93%"
"16274","Pinocchio","1940","Italy,France,United Kingdom","100%"
"16275","Thor: The Dark World","2013","United States","66%"
"16276","Star Wars: The Last Jedi","2017","United States","90%"
"16277","Lilo & Stitch","2002","United States","86%"
"16278","Star Wars: The Rise of Skywalker","2019","United States","52%"
"16279","Pirates of the Caribbean: Dead Man's Chest","2006","United States","53%"
"16280","Bambi","1942","United States","90%"
"16281","Captain Marvel","2019","United States,Australia","78%"
"16282","Alice in Wonderland","1951","United States","81%"
"16283","Peter Pan","1953","United Kingdom,Australia,United States,New Zealand","80%"
"16284","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2005","United Kingdom,United States","76%"
"16285","Miracle on 34th Street","1947","United States","96%"
"16286","Pirates of the Caribbean: At World's End","2007","United States","44%"
"16287","The Many Adventures of Winnie the Pooh","1977","United States","100%"
"16288","Star Wars: Episode II - Attack of the Clones","2002","United States","65%"
"16289","The Muppet IteratorPattern.Main.Movie","1979","United Kingdom,United States","88%"
"16290","Mickey's Christmas Carol","1983","United States","100%"
"16291","Star Wars: Episode I - The Phantom Menace","1999","United States","53%"
"16292","Cool Runnings","1993","United States","76%"
"16293","The Parent Trap","1998","United States,United Kingdom","86%"
"16294","The Muppet Christmas Carol","1992","United States,United Kingdom","75%"
"16295","Treasure Planet","2002","United States","69%"
"16296","The Fox and the Hound","1981","United States","70%"
"16297","Holes","2003","United States","78%"
"16298","Pete's Dragon","2016","United States","88%"
"16299","The Good Dinosaur","2015","United States","76%"
"16300","Frankenweenie","2012","United States","87%"
"16301","Tron","1982","United States","74%"
"16302","Winnie the Pooh","2011","United Kingdom,United States","91%"
"16303","TRON: Legacy","2010","United States","51%"
"16304","The Sword in the Stone","1963","United States","67%"
"16305","The Aristocats","1970","United States","66%"
"16306","Cars 3","2017","United States","70%"
"16307","Queen of Katwe","2016","United States","93%"
"16308","Homeward Bound: The Incredible Journey","1993","United States","87%"
"16309","Maleficent: Mistress of Evil","2019","United States,United Kingdom,Canada","40%"
"16310","Before the Flood","2016","United States","74%"
"16311","The Chronicles of Narnia: Prince Caspian","2008","United States,Poland,Slovenia,Czech Republic,United Kingdom","66%"
"16312","The Great Mouse Detective","1986","United States","79%"
"16313","Flight of the Navigator","1986","United States","83%"
"16314","James and the Giant Peach","1996","United Kingdom,United States","91%"
"16315","Willow","1988","United States","50%"
"16316","Meet the Robinsons","2007","United States","67%"
"16317","Star Wars: Episode III - Revenge of the Sith","2005","United States",""
"16318","Fantasia 2000","1999","United States","81%"
"16319","Tinker Bell","2008","United States","100%"
"16320","The Rescuers","1977","United States","80%"
"16321","Eight Below","2006","United States","72%"
"16322","Invincible","2006","United States","72%"
"16323","Sister Act","1992","United States","73%"
"16324","John Carter","2012","United States","52%"
"16325","Freaky Friday","2003","United States","88%"
"16326","The Santa Clause","1994","United States,Canada","71%"
"16327","Descendants","2015","United States","90%"
"16328","Old Yeller","1957","United States","100%"
"16329","Honey, I Shrunk the Kids","1989","United States,Mexico","75%"
"16330","Phineas and Ferb the IteratorPattern.Main.Movie: Across the 2nd Dimension","2011","United States","100%"
"16331","Pirates of the Caribbean: On Stranger Tides","2011","United States,United Kingdom","33%"
"16332","The BFG","2016","United States,India,United Kingdom","75%"
"16333","The Princess Diaries","2001","United States,United Kingdom","48%"
"16334","National Treasure: Book of Secrets","2007","United States","36%"
"16335","The Finest Hours","2016","United States","64%"
"16336","DuckTales: The IteratorPattern.Main.Movie - Treasure of the Lost Lamp","1990","France,United States","88%"
"16337","A Goofy IteratorPattern.Main.Movie","1995","United States,Australia,France,Canada","59%"
"16338","The Greatest Game Ever Played","2005","United States,Canada","63%"
"16339","The Lion King 1½","2004","Australia,United States","78%"
"16340","The Lion King II: Simba's Pride","1998","United States,Australia","62%"
"16341","The Adventures of Ichabod and Mr. Toad","1949","United States","93%"
"16342","Tinker Bell and the Lost Treasure","2009","United States","100%"
"16343","Bedknobs and Broomsticks","1971","United States","65%"
"16344","Hocus Pocus","1993","United States","34%"
"16345","Secretariat","2010","United States","63%"
"16346","Darby O'Gill and the Little People","1959","United States","100%"
"16347","Muppet Treasure Island","1996","United States","73%"
"16348","The Rescuers Down Under","1990","United States","69%"
"16349","The Rocketeer","1991","United States","65%"
"16350","High School Musical","2006","United States","63%"
"16351","Atlantis: The Lost Empire","2001","United States","49%"
"16352","The Great Muppet Caper","1981","United Kingdom,United States","76%"
"16353","Teen Beach IteratorPattern.Main.Movie","2013","United States","86%"
"16354","Journey to the Center of the Earth","1959","United States","86%"
"16355","Pollyanna","1960","United States","86%"
"16356","High School Musical 2","2007","United States","82%"
"16357","Halloweentown","1998","United States","80%"
"16358","Brother Bear","2003","United States","37%"
"16359","Millions","2004","United Kingdom","88%"
"16360","Muppets Most Wanted","2014","United States","80%"
"16361","The Journey of Natty Gann","1985","United States","100%"
"16362","Secret of the Wings","2012","United States,India,United Kingdom","60%"
"16363","Cars 2","2011","United States","39%"
"16364","Tinker Bell and the Great Fairy Rescue","2010","United States","78%"
"16365","Descendants 2","2017","United States","67%"
"16366","Adventures in Babysitting","2016","United States","100%"
"16367","Dinosaur","2000","United States","64%"
"16368","Dumbo","2019","United States,United Kingdom,Australia,Canada","47%"
"16369","The Color of Friendship","2000","Canada,United States","100%"
"16370","Oliver & Company","1988","United States","51%"
"16371","Monkey Kingdom","2015","United States","93%"
"16372","Davy Crockett, King of the Wild Frontier","1955","United States","100%"
"16373","The Three Caballeros","1944","United States","82%"
"16374","That Darn Cat!","1965","United States","94%"
"16375","African Cats","2011","United States","73%"
"16376","Newsies","1992","United States","39%"
"16377","3 Men and a Baby","1987","United States,France","75%"
"16378","Tuck Everlasting","2002","United States","60%"
"16379","The Incredible Journey","1963","Canada,United States","89%"
"16380","The Love Bug","1968","United States","76%"
"16381","High School Musical 3: Senior Year","2008","United States","64%"
