movie,year,rating,imdb_rating,reelgood_rating
Alien,1979,18+,8.4,95
City of God,2002,18+,8.6,94
Aliens,1986,18+,8.3,94
Die Hard,1988,18+,8.2,93
Joker,2019,18+,8.5,92
Am?lie,2001,18+,8.3,92
Ford v Ferrari,2019,13+,8.1,92
Life Is Beautiful,1997,13+,8.6,92
Requiem for a Dream,2000,18+,8.3,91
Jaws,1975,7+,8,91
Twelve Monkeys,1995,18+,8,91
Before Sunrise,1995,18+,8.1,90
La La Land,2016,13+,8,90
Jojo Rabbit,2019,13+,7.9,90
X-Men: First Class,2011,13+,7.7,89
Cinema Paradiso,1988,7+,8.5,89
Cast Away,2000,13+,7.8,89
Before Sunset,2004,18+,8.1,88
The Invisible Man,2020,18+,7.1,88
In Bruges,2008,18+,7.9,87
The Fighter,2010,18+,7.8,87
Magnolia,1999,18+,8,87
The Curious Case of Benjamin Button,2008,13+,7.8,87
Shazam!,2019,13+,7.1,86
Clerks,1994,18+,7.7,86
Walk the Line,2005,13+,7.8,86
The Others,2001,13+,7.6,86
Doctor Sleep,2019,18+,7.4,86
Home Alone,1990,7+,7.6,86
"Crazy, Stupid, Love.",2011,13+,7.4,85
Crash,2005,18+,7.7,85
They Shall Not Grow Old,2018,18+,8.3,85
Just Mercy,2019,13+,7.6,85
Moulin Rouge!,2001,13+,7.6,85
Pi,1998,18+,7.4,85
The Diving Bell and the Butterfly,2007,13+,8,85
Gangs of New York,2002,18+,7.5,85
The Conjuring 2,2016,18+,7.3,84
Once,2007,18+,7.8,84
Prometheus,2012,18+,7,84
Fast Five,2011,13+,7.3,84
Us,2019,18+,6.9,84
Unbreakable,2000,13+,7.3,84
Richard Jewell,2019,18+,7.5,84
Ready or Not,2019,18+,6.8,84
A Fish Called Wanda,1988,18+,7.5,84
Bridesmaids,2011,18+,6.8,84
Fast & Furious Presents: Hobbs & Shaw,2019,13+,6.4,84
Raising Arizona,1987,13+,7.3,84
Bowling for Columbine,2002,18+,7.9,84
An American Werewolf in London,1981,18+,7.5,83
Sherlock Holmes: A Game of Shadows,2011,13+,7.5,83
Blood Simple,1984,18+,7.6,83
Nocturnal Animals,2016,18+,7.5,83
Shame,2011,18+,7.2,83
Midnight Run,1988,18+,7.5,83
Die Hard: With a Vengeance,1995,18+,7.6,83
The Descendants,2011,18+,7.3,83
Aquaman,2018,13+,6.9,83
Munich,2005,18+,7.5,83
Going Clear: Scientology and the Prison of Belief,2015,N/A,8,83
School of Rock,2003,13+,7.1,83
Ray,2004,13+,7.7,83
The Talented Mr. Ripley,1999,18+,7.4,83
Notting Hill,1999,13+,7.1,83
My Left Foot: The Story of Christy Brown,1989,18+,7.9,82
Enemy of the State,1998,18+,7.3,82
The Last Emperor,1987,13+,7.7,82
The Boy in the Striped Pyjamas,2008,13+,7.8,82
Midnight Cowboy,1969,18+,7.8,82
Temple Grandin,2010,7+,8.3,82
American Graffiti,1973,7+,7.4,82
Birds of Prey: Harley Quinn,2020,18+,6.1,82
Downton Abbey,2019,7+,7.4,82
A Little Princess,1995,all,7.7,82
The Normal Heart,2014,18+,7.9,82
After Hours,1985,18+,7.7,82
Chasing Amy,1997,18+,7.2,82
A Monster Calls,2016,13+,7.5,82
The English Patient,1996,18+,7.4,82
Rise of the Guardians,2012,7+,7.3,82
Little Shop of Horrors,1986,13+,7,82
Dirty Dancing,1987,13+,7,82
Contagion,2011,13+,6.7,82
Bad Education,2020,18+,7.1,82
Paradise Lost: The Child Murders at Robin Hood Hills,1996,N/A,8.3,82
Point Break,1991,18+,7.3,81
Spies in Disguise,2019,7+,6.8,81
Horrible Bosses,2011,18+,6.9,81
Precious,2009,18+,7.3,81
Good Boys,2019,18+,6.7,81
The Assassination of Jesse James by the Coward Robert Ford,2007,18+,7.5,81
Die Hard 2,1990,18+,7.2,81
Anastasia,1997,all,7.2,81
It Chapter Two,2019,18+,6.5,81
A Woman Under the Influence,1974,18+,8.2,81
Yesterday,2019,13+,6.8,81
Pok?mon Detective Pikachu,2019,7+,6.6,81
Little Children,2006,18+,7.5,81
Unstoppable,2010,13+,6.8,80
Michael Clayton,2007,18+,7.2,80
Hedwig and the Angry Inch,2001,18+,7.7,80
Punch-Drunk Love,2002,18+,7.3,80
Doubt,2008,13+,7.5,80
The Way Back,2020,18+,6.7,80
Queen & Slim,2019,18+,7.1,80
A Room with a View,1985,18+,7.3,80
Conspiracy,2001,18+,7.7,80
Signs,2002,13+,6.7,80
When We Were Kings,1996,7+,8,80
Paul,2011,18+,7,80
Bridge to Terabithia,2007,7+,7.1,80
Sexy Beast,2001,18+,7.3,80
Angel Heart,1987,18+,7.3,80
American Pie,1999,18+,7,80
War Dogs,2016,18+,7.1,79
