"ID","Title","Year","IMDb","Language"
"3561","The Dark Knight","2008","9","English,Mandarin"
"3562","GoodFellas","1990","8.7","English,Italian"
"3563","Parasite","2019","8.6","Korean,English"
"3564","Good Will Hunting","1997","8.3","English"
"3565","The Green Mile","1999","8.6","English,French"
"3566","Batman Begins","2005","8.2","English,Mandarin"
"3567","Grave of the Fireflies","1988","8.5","Japanese"
"3568","Kill Bill: Vol. 1","2003","8.1","English,Japanese,French"
"3569","Zombieland","2009","7.6","English"
"3570","A Quiet Place","2018","7.5","English,American Sign Language"
"3571","Kill Bill: Vol. 2","2004","8","English,Cantonese,Mandarin,Spanish"
"3572","Let the Right One In","2008","7.9","Swedish,Spanish"
"3573","True Grit","2010","7.6","English"
"3574","Akira","1988","8","Japanese"
"3575","50/50","2011","7.6","English"
"3576","Hunt for the Wilderpeople","2016","7.9","English"
"3577","The Graduate","1967","8","English"
"3578","Portrait of a Lady on Fire","2019","8.2","French,Italian"
"3579","Misery","1990","7.8","English"
"3580","The Conjuring","2013","7.5","English,Latin"
"3581","Free Solo","2018","8.2","English"
"3582","Captain Fantastic","2016","7.9","English,Esperanto"
"3583","I, Tonya","2017","7.5","English"
"3584","Blazing Saddles","1974","7.7","English,Yiddish,German"
"3585","Shoplifters","2018","8","Japanese"
"3586","Up in the Air","2009","7.4","English"
"3587","The Cabin in the Woods","2012","7","English,Japanese"
"3588","How to Train Your Dragon: The Hidden World","2019","7.5","English"
"3589","Escape from Alcatraz","1979","7.6","English"
"3590","Star Trek II: The Wrath of Khan","1982","7.7","English"
"3591","Apollo 11","2019","8.2","English"
"3592","Booksmart","2019","7.2","English,Mandarin,Spanish"
"3593","Super 8","2011","7","English"
"3594","Mission: Impossible - Fallout","2018","7.7","English,French"
"3595","Coherence","2013","7.2","English"
"3596","Annihilation","2018","6.9","English"
"3597","Heathers","1989","7.2","English"
"3598","The Descent","2005","7.2","English"
"3599","The Guilty","2018","7.5","Danish"
"3600","Fighting with My Family","2019","7.1","English"
"3601","Bumblebee","2018","6.8","English"
"3602","Rango","2011","7.2","English"
"3603","Instant Family","2018","7.3","English,Spanish"
"3604","13 Assassins","2010","7.6","Japanese"
"3605","The Host","2006","7.1","Korean,English"
"3606","Volver","2006","7.6","Spanish"
"3607","We Need to Talk About Kevin","2011","7.5","English"
"3608","Let Me In","2010","7.1","English"
"3609","Three Identical Strangers","2018","7.7","English"
"3610","A Simple Favor","2018","6.8","English"
"3611","Creed II","2018","7.1","English,Russian,Sign Languages"
"3612","Loving Vincent","2017","7.8","English"
"3613","Megamind","2010","7.2","English"
"3614","Honeyland","2019","8","Turkish,Macedonian,Serbo-Croatian,Bosnian"
"3615","The Full Monty","1997","7.2","English"
"3616","Abominable","2019","7","English,Mandarin"
"3617","The Chaser","2008","7.9","Korean"
"3618","Hotel Mumbai","2018","7.6","English"
"3619","Nobody Knows","2004","8.1","Japanese"
"3620","Ninja Scroll","1993","7.9","Japanese"
"3621","Chicken Run","2000","7","English"
"3622","Swingers","1996","7.2","English"
"3623","Food, Inc.","2008","7.8","English"
"3624","Embrace of the Serpent","2015","7.9","Spanish,Portuguese,Aboriginal,German,Catalan,Latin,English"
"3625","Melancholia","2011","7.2","English"
"3626","Minding the Gap","2019","8.1","English"
"3627","The Second Mother","2015","7.8","Portuguese"
"3628","Notes on a Scandal","2006","7.4","English,French"
"3629","Star Trek VI: The Undiscovered Country","1991","7.2","English,Klingon"
"3630","Love & Mercy","2015","7.4","English"
"3631","A Taxi Driver","2017","7.8","Korean,German,English,Japanese"
"3632","The Prince of Egypt","1998","7.1","English,Hebrew"
"3633","Tickled","2016","7.6","English"
"3634","Sorry to Bother You","2018","6.9","English"
"3635","The Way Back","2010","7.3","English"
"3636","Detroit","2017","7.3","English"
"3637","Risky Business","1983","6.8","English,German"
"3638","The Biggest Little Farm","2019","8.1","English"
"3639","Lucky","2017","7.3","English,Spanish"
"3640","Border","2018","7","Swedish,English"
"3641","Natural Born Killers","1994","7.3","English,Navajo,Japanese"
"3642","If Beale Street Could Talk","2018","7.1","English,Spanish"
"3643","Horton Hears a Who!","2008","6.8","English"
"3644","Romancing the Stone","1984","6.9","English,Spanish,French"
"3645","The Beatles: Eight Days a Week - The Touring Years","2016","7.8","English"
"3646","Phone Booth","2002","7","English,Swahili"
"3647","Gods and Monsters","1998","7.4","English,Hungarian"
"3648","Force Majeure","2014","7.3","English"
"3649","Turtles Can Fly","2005","8.1","Kurdish,Arabic,English"
"3650","Thelma","2017","7","Norwegian,Swedish"
"3651","The Sisters Brothers","2018","7","English"
"3652","Tangerine","2015","7.1","English,Armenian"
"3653","Monos","2019","7.1","Spanish,English"
"3654","The Nightingale","2019","7.3","English,Irish,Aboriginal"
"3655","BPM (Beats per Minute)","2017","7.4","French"
"3656","Bend It Like Beckham","2002","6.6","English,Punjabi,Hindi,German"
"3657","Hud","1963","7.8","English"
"3658","Vice","2018","7.2","English"
"3659","The Book of Eli","2010","6.9","English"
"3660","The 12th Man","2017","7.4","Norwegian,German,English,Saami"
"3661","The Messenger","2009","7.1","English,Spanish"
"3662","Cartel Land","2015","7.4","English,Spanish"
"3663","Professor Marston and the Wonder Women","2017","7.1","English"
"3664","A Brilliant Young Mind","2014","7.1","English,Mandarin"
"3665","Antz","1998","6.5","English"
"3666","The Next Three Days","2010","7.4","English"
"3667","Megan Leavey","2017","7.1","English,Arabic"
"3668","Jesus Camp","2006","7.4","English"
"3669","RBG","2018","7.5","English,Italian,German,French"
"3670","Wild Rose","2019","7.2","English"
"3671","Kinsey","2004","7","English"
"3672","Demolition Man","1993","6.7","English"
"3673","Spirit: Stallion of the Cimarron","2002","7.1","English"
"3674","The Good, The Bad, The Weird","2008","7.3","Korean,Mandarin,Japanese"
"3675","Waiting for ""Superman""","2010","7.5","English"
"3676","The Skeleton Twins","2014","6.8","English"
"3677","I Can Only Imagine","2018","7.3","English"
"3678","Woman at War","2018","7.4","Icelandic,English,Ukrainian,Chinese,Spanish"
"3679","Johnny Guitar","1954","7.7","English"
"3680","Jane","2017","7.8","English"
"3681","Monster House","2006","6.6","English"
"3682","Hail Satan?","2019","7.3","English"
"3683","Ingrid Goes West","2017","6.6","English"
"3684","Dogman","2018","7.2","Italian"
"3685","Anthropoid","2016","7.2","English,Czech,German"
"3686","Missing Link","2019","6.7","English,Spanish,Tibetan"
"3687","Star Trek III: The Search for Spock","1984","6.7","English,Klingon,Russian,French"
"3688","Cashback","2006","7.2","English,Spanish"
"3689","Juliet, Naked","2018","6.6","English"
"3690","The Absent One","2014","7.1","Danish,English,French"
"3691","Big Time Adolescence","2020","7","English"
"3692","Get Smart","2008","6.5","English,Russian,Punjabi,Arabic"
"3693","Life, Animated","2016","7.5","English"
"3694","Sands of Iwo Jima","1949","7.1","English"
"3695","Killer Joe","2011","6.7","English"
"3696","Sword Art Online: The IteratorPattern.Movies.Movie - Ordinal Scale","2017","7.4","Japanese"
"3697","The Wave","2015","6.7","English"
"3698","Colossal","2016","6.2","English,Korean"
"3699","Luce","2019","6.7","English"
"3700","Oculus","2014","6.5","English"
"3701","Standing in the Shadows of Motown","2002","7.8","English"
"3702","Borg vs McEnroe","2017","6.9","English,Swedish,French,Spanish,German"
"3703","Denial","2016","6.7","English,German,Hebrew"
"3704","Best of Enemies","2015","7.6","English"
"3705","Prospect","2018","6.2","English"
"3706","Arbitrage","2012","6.6","English"
"3707","Plus One","2019","6.6","English"
"3708","Active Measures","2018","7.9","English"
"3709","Amazing Grace","2018","7.5","English"
"3710","The Art of Self-Defense","2019","6.7","English,French,German"
"3711","The Clovehitch Killer","2018","6.5","English"
"3712","Rare Exports: A Christmas Tale","2010","6.7","Finnish,English"
"3713","Venus in Fur","2013","7.2","French,German"
"3714","Jackass 3D","2010","7","English"
"3715","I Kill Giants","2018","6.2","English"
"3716","The Queen of Versailles","2012","7.1","French,English"
"3717","2 Days in Paris","2007","6.8","English,French"
"3718","The Wrecking Crew","2008","7.6","English"
"3719","The Villainess","2017","6.7","Korean"
"3720","Europa Report","2013","6.4","English,Russian,Chinese"
"3721","The Cooler","2003","6.9","English"
"3722","In the Fade","2017","7.1","German,Greek,English,Turkish"
"3723","The Road to El Dorado","2000","6.9","English"
"3724","Christine","2016","6.9","English"
"3725","Hearts Beat Loud","2018","6.9","English"
"3726","Whitney","2018","7.3","English"
"3727","Angel of Mine","2019","6.5","English"
"3728","Hounds of Love","2016","6.5","English"
"3729","Pawn Sacrifice","2015","7","English,Russian"
"3730","Transformers: Dark of the Moon","2011","6.2","English"
"3731","Ben Is Back","2018","6.7","English"
"3732","Wayne's World 2","1993","6.2","English,Cantonese"
