"ID","Title","Year","Age","Language"
"1","Inception","2010","13+","English,Japanese,French"
"2","The Matrix","1999","18+","English"
"3","Avengers: Infinity War","2018","13+","English"
"4","Back to the Future","1985","7+","English"
"5","The Good, the Bad and the Ugly","1966","18+","Italian"
"6","Spider-Man: Into the Spider-Verse","2018","7+","English,Spanish"
"7","The Pianist","2002","18+","English,German,Russian"
"8","Django Unchained","2012","18+","English,German,French,Italian"
"9","Raiders of the Lost Ark","1981","7+","English,German,Hebrew,Spanish,Arabic,Nepali"
"10","Inglourious Basterds","2009","18+","English,German,French,Italian"
"11","Taxi Driver","1976","18+","English,Spanish"
"12","3 Idiots","2009","13+","Hindi,English"
"13","Pan's Labyrinth","2006","18+","Spanish"
"14","Room","2015","18+","English"
"15","Monty Python and the Holy Grail","1975","7+","English,French,Latin"
"16","Once Upon a Time in the West","1968","13+","Italian,English,Spanish"
"17","Indiana Jones and the Last Crusade","1989","13+","English,German,Greek,Arabic"
"18","Groundhog Day","1993","7+","English,French,Italian"
"19","The King's Speech","2010","18+","English"
"20","Her","2013","18+","English"
"21","There Will Be Blood","2007","18+","English,American Sign Language"
"22","The Social Network","2010","13+","English,French"
"23","Dallas Buyers Club","2013","18+","English,Japanese"
"24","The Perks of Being a Wallflower","2012","13+","English"
"25","Life of Brian","1979","18+","English,Latin"
"26","Ex Machina","2015","18+","English"
"27","Silver Linings Playbook","2012","18+","English"
"28","District 9","2009","18+","English,Nyanja,Afrikaans,Zulu,Xhosa,Southern Sotho"
"29","The Irishman","2019","18+","English,Italian,Latin,Spanish,German"
"30","Moon","2009","18+","English,Spanish"
"31","Marriage Story","2019","18+","English,Spanish"
"32","Drive","2011","18+","English,Spanish"
"33","Train to Busan","2016","","Korean,Hawaiian"
"34","Incredibles 2","2018","7+","English"
"35","Dangal","2016","7+","Hindi"
"36","Klaus","2019","7+","English,Saami"
"37","Minority Report","2002","13+","English,Swedish"
"38","Mystic River","2003","18+","English"
"39","Like Stars on Earth","2007","7+","Hindi,English"
"40","Ferris Bueller's Day Off","1986","13+","English,German"
"41","Despicable Me","2010","7+","English"
"42","Hell or High Water","2016","18+","English"
"43","Sin City","2005","18+","English"
"44","Ip Man","2008","18+","Cantonese,Mandarin,Japanese"
"45","Indiana Jones and the Temple of Doom","1984","7+","English,Sinhalese,Hindi"
"46","The Theory of Everything","2014","13+","English,French"
"47","The Pursuit of Happyness","2006","13+","English,Cantonese"
"48","Senna","2010","13+","English,Portuguese,French,Japanese"
"49","Scott Pilgrim vs. the World","2010","13+","English"
"50","Magnolia","1999","18+","English,German,French"
"51","The Hateful Eight","2015","18+","English,Spanish,French"
"52","The Artist","2011","13+","English,French"
"53","Moonlight","2016","18+","English"
"54","Back to the Future Part II","1989","7+","English"
"55","Willy Wonka & the Chocolate Factory","1971","all","English,French,German,Italian"
"56","What's Eating Gilbert Grape","1993","13+","English"
"57","The Curious Case of Benjamin Button","2008","13+","English,Russian,French"
"58","A Silent Voice","2016","","Japanese,Japanese Sign Language"
"59","Snowpiercer","2013","18+","English"
"60","Hugo","2011","7+","English"
"61","Ant-Man and the Wasp","2018","13+","English,Spanish"
"62","As Good as It Gets","1997","13+","English"
"63","Back to the Future Part III","1990","7+","English"
"64","Searching for Sugar Man","2012","13+","English"
"65","Road to Perdition","2002","18+","English"
"66","To All the Boys I've Loved Before","2020","13+","English"
"67","Molly's Game","2017","18+","English"
"68","Blackfish","2013","13+","English,Spanish"
"69","El Camino: A Breaking Bad IteratorPattern.Movies.Movie","2019","18+","English"
"70","The Invisible Guest","2016","18+","Spanish"
"71","Song of the Sea","2014","7+","English,Irish"
"72","End of Watch","2012","18+","English,Spanish"
"73","The Evil Dead","1981","18+","English"
"74","About Time","2013","18+","English"
"75","Kung Fu Hustle","2004","18+","Cantonese,Mandarin"
"76","Blue Is the Warmest Color","2013","18+","French,English"
"77","Y Tu Mamá También","2001","18+","Spanish"
"78","The Naked Gun: From the Files of Police Squad!","1988","13+","English"
"79","Mud","2013","13+","English"
"80","The Edge of Seventeen","2016","18+","English"
"81","Philadelphia","1993","13+","English"
"82","Lagaan: Once Upon a Time in India","2001","7+","Hindi,English,Awadhi,Urdu"
"83","Tucker and Dale vs. Evil","2010","18+","English"
"84","The Matrix Reloaded","2003","18+","English,French"
"85","The Two Popes","2019","13+","English,Spanish,Italian,Latin,Portuguese,French,German"
"86","The Last Samurai","2003","18+","English,Japanese"
"87","The Florida Project","2017","18+","English,Spanish,Portuguese"
"88","13th","2016","18+","English"
"89","Bahubali: The Beginning","2015","13+","Telugu,Tamil"
"90","The Dawn Wall","2018","","English"
"91","Dolemite Is My Name","2019","18+","English"
"92","Tarzan","1999","all","English,Lingala,French"
"93","The Platform","2019","18+","Spanish"
"94","Okja","2017","13+","English,Korean,Spanish"
"95","Roma","2018","18+","English"
"96","Saving Mr. Banks","2013","13+","English"
"97","Icarus","2017","18+","English,Russian"
"98","Jiro Dreams of Sushi","2011","7+","Japanese"
"99","Corpse Bride","2005","7+","English"
"100","Jerry Maguire","1996","18+","English,American Sign Language"
"101","The Death of Stalin","2017","18+","English"
"102","GoldenEye","1995","13+","English,Russian,Spanish"
"103","The Boy in the Striped Pyjamas","2008","13+","English,Spanish"
"104","Amy","2015","18+","English"
"105","Ralph Breaks the Internet","2018","7+","English"
"106","Good Time","2017","18+","English"
"107","Ip Man 2","2010","18+","Cantonese,Mandarin,English"
